symbol,data,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31
24CS,Tax Effect Of Unusual Items,,0.0,0.0,547957.78384,247811.882522,
24CS,Tax Rate For Calcs,,0.352007,0.241495,0.223307,0.195597,
24CS,Normalized EBITDA,,18310000.0,35101165.0,41876591.0,-44136736.0,
24CS,Total Unusual Items,,,0.0,2453829.0,1266954.0,
24CS,Total Unusual Items Excluding Goodwill,,,0.0,2453829.0,1266954.0,
24CS,Net Income From Continuing Operation Net Minority Interest,,6940000.0,19455578.0,24494231.0,-45071044.0,
24CS,Reconciled Depreciation,,6310000.0,6959244.0,7726356.0,9617938.0,
24CS,Reconciled Cost Of Revenue,,354560000.0,563704474.0,870063922.0,671432400.0,
24CS,EBITDA,,18310000.0,35101165.0,44330420.0,-42869782.0,
24CS,EBIT,,12000000.0,28141921.0,36604064.0,-52487720.0,
24CS,Net Interest Income,,-1290000.0,-2013217.0,-4082461.0,-2439536.0,
24CS,Interest Expense,,1290000.0,2492033.0,5067487.0,3542679.0,
24CS,Interest Income,,,478816.0,985026.0,1103143.0,
24CS,Normalized Income,,6940000.0,19455578.0,22588359.78384,-46090186.117478,
24CS,Net Income From Continuing And Discontinued Operation,,6940000.0,19455578.0,24494231.0,-45071044.0,
24CS,Total Expenses,,390560000.0,613971660.0,945659452.0,742760344.0,
24CS,Diluted Average Shares,,430000000.0,430000000.0,325513699.0,430000000.0,
24CS,Basic Average Shares,,430000000.0,430000000.0,325513699.0,430000000.0,
24CS,Diluted EPS,,0.01614,0.045246,0.08,-0.1,
24CS,Basic EPS,,0.01614,0.045246,0.08,-0.1,
24CS,Diluted NI Availto Com Stockholders,,6940000.0,19455578.0,24494231.0,-45071044.0,
24CS,Net Income Common Stockholders,,6940000.0,19455578.0,24494231.0,-45071044.0,
24CS,Net Income,,6940000.0,19455578.0,24494231.0,-45071044.0,
24CS,Net Income Including Noncontrolling Interests,,6940000.0,19455578.0,24494231.0,-45071044.0,
24CS,Net Income Continuous Operations,,6940000.0,19455578.0,24494231.0,-45071044.0,
24CS,Tax Provision,,3770000.0,6194310.0,7042346.0,-10959355.0,
24CS,Pretax Income,,10710000.0,25649888.0,31536577.0,-56030399.0,
24CS,Other Income Expense,,720000.0,161675.0,2710901.0,7674673.0,
24CS,Other Non Operating Income Expenses,,720000.0,161675.0,257072.0,6407719.0,
24CS,Special Income Charges,,,0.0,1295046.0,1266954.0,
24CS,Gain On Sale Of Ppe,,,0.0,1295046.0,1214952.0,
24CS,Other Special Charges,,,,,-52002.0,
24CS,Gain On Sale Of Security,,,,1158783.0,,
24CS,Net Non Operating Interest Income Expense,,-1290000.0,-2013217.0,-4082461.0,-2439536.0,
24CS,Interest Expense Non Operating,,1290000.0,2492033.0,5067487.0,3542679.0,
24CS,Interest Income Non Operating,,,478816.0,985026.0,1103143.0,
24CS,Operating Income,,10880000.0,27501430.0,32908137.0,-61265536.0,
24CS,Operating Expense,,36000000.0,50267186.0,75595530.0,71327944.0,
24CS,Selling General And Administration,,36000000.0,50267186.0,75595530.0,71327944.0,
24CS,Selling And Marketing Expense,15280000.0,17830000.0,19250000.0,,9318398.0,
24CS,General And Administrative Expense,15860000.0,18170000.0,31020000.0,,62009546.0,
24CS,Other Gand A,800000.0,2100000.0,2560000.0,,62009546.0,
24CS,Salaries And Wages,15060000.0,16070000.0,28460000.0,,,
24CS,Gross Profit,,46880000.0,77768616.0,108503667.0,10062408.0,
24CS,Cost Of Revenue,,354560000.0,563704474.0,870063922.0,671432400.0,
24CS,Total Revenue,,401440000.0,641473090.0,978567589.0,681494808.0,
24CS,Operating Revenue,,401440000.0,641473090.0,978567589.0,681494808.0,
2S,Tax Effect Of Unusual Items,,-3169616.39746,-4380462.499784,-102844.248446,-1027414.928141,
2S,Tax Rate For Calcs,,0.15251,0.201837,0.005085,0.037799,
2S,Normalized EBITDA,,560029000.0,997117000.0,-52386000.0,248561000.0,
2S,Total Unusual Items,,-20783000.0,-21703000.0,-20225000.0,-27181000.0,
2S,Total Unusual Items Excluding Goodwill,,-20783000.0,-21703000.0,-20225000.0,-27181000.0,
2S,Net Income From Continuing Operation Net Minority Interest,,410165000.0,737515000.0,-122177000.0,160083000.0,
2S,Reconciled Depreciation,,47275000.0,49010000.0,50507000.0,55027000.0,
2S,Reconciled Cost Of Revenue,,4865660000.0,5371701000.0,6601387000.0,6351661000.0,
2S,EBITDA,,539246000.0,975414000.0,-72611000.0,221380000.0,
2S,EBIT,,491971000.0,926404000.0,-123118000.0,166353000.0,
2S,Net Interest Income,,-5898000.0,85000.0,1449000.0,3354000.0,
2S,Interest Expense,,7957000.0,1716000.0,579000.0,264000.0,
2S,Interest Income,,2059000.0,1801000.0,2028000.0,3618000.0,
2S,Normalized Income,,427778383.60254,754837537.500216,-102054844.248446,186236585.071859,
2S,Net Income From Continuing And Discontinued Operation,,410165000.0,737515000.0,-122177000.0,160083000.0,
2S,Total Expenses,,5113167000.0,5607020000.0,6856163000.0,6625824000.0,
2S,Diluted Average Shares,,549997800.0,549996000.0,549996000.0,549996000.0,
2S,Basic Average Shares,,549997800.0,549996000.0,549996000.0,549996000.0,
2S,Diluted EPS,,0.745455,1.34,-0.23,0.29,
2S,Basic EPS,,0.745455,1.34,-0.23,0.29,
2S,Diluted NI Availto Com Stockholders,,410165000.0,737515000.0,-122177000.0,160083000.0,
2S,Net Income Common Stockholders,,410165000.0,737515000.0,-122177000.0,160083000.0,
2S,Net Income,,410165000.0,737515000.0,-122177000.0,160083000.0,
2S,Minority Interests,,-32000.0,-537000.0,891000.0,272000.0,
2S,Net Income Including Noncontrolling Interests,,410197000.0,738052000.0,-123068000.0,159811000.0,
2S,Net Income Continuous Operations,,410197000.0,738052000.0,-123068000.0,159811000.0,
2S,Tax Provision,,73817000.0,186636000.0,-629000.0,6278000.0,
2S,Pretax Income,,484014000.0,924688000.0,-123697000.0,166089000.0,
2S,Other Income Expense,,54000.0,10810000.0,22052000.0,13214000.0,
2S,Other Non Operating Income Expenses,,20837000.0,32513000.0,42277000.0,40395000.0,
2S,Special Income Charges,0.0,,,0.0,-15086000.0,
2S,Write Off,0.0,,,,,
2S,Impairment Of Capital Assets,,,,0.0,15086000.0,
2S,Gain On Sale Of Security,,-20783000.0,-21703000.0,-20225000.0,-12095000.0,
2S,Net Non Operating Interest Income Expense,,-5898000.0,85000.0,1449000.0,3354000.0,
2S,Interest Expense Non Operating,,7957000.0,1716000.0,579000.0,264000.0,
2S,Interest Income Non Operating,,2059000.0,1801000.0,2028000.0,3618000.0,
2S,Operating Income,,489858000.0,913793000.0,-147198000.0,149521000.0,
2S,Operating Expense,,247507000.0,235319000.0,254776000.0,274163000.0,
2S,Selling General And Administration,,247507000.0,235319000.0,254776000.0,274163000.0,
2S,Selling And Marketing Expense,,137563000.0,127474000.0,147414000.0,163066000.0,
2S,General And Administrative Expense,,109944000.0,107845000.0,107362000.0,111097000.0,
2S,Other Gand A,,109944000.0,107845000.0,107362000.0,111097000.0,
2S,Gross Profit,,737365000.0,1149112000.0,107578000.0,423684000.0,
2S,Cost Of Revenue,,4865660000.0,5371701000.0,6601387000.0,6351661000.0,
2S,Total Revenue,,5603025000.0,6520813000.0,6708965000.0,6775345000.0,
2S,Operating Revenue,,5603025000.0,6520813000.0,6708965000.0,6775345000.0,
3K-BAT,Tax Effect Of Unusual Items,,-630074.4,12210878.678426,,16645183.296288,30812781.577281
3K-BAT,Tax Rate For Calcs,,0.2,0.2177,,0.273165,0.228086
3K-BAT,Normalized EBITDA,,48006126.0,364863336.0,,337264013.0,288030444.0
3K-BAT,Total Unusual Items,,-3150372.0,56090495.0,,60934646.0,135092842.0
3K-BAT,Total Unusual Items Excluding Goodwill,,-3150372.0,56090495.0,,60934646.0,135092842.0
3K-BAT,Net Income From Continuing Operation Net Minority Interest,,-229001875.0,153497275.0,,124520868.0,145261597.0
3K-BAT,Reconciled Depreciation,,243336270.0,209412567.0,,208414799.0,217677403.0
3K-BAT,Reconciled Cost Of Revenue,,3770595527.0,4376077238.0,,4333720027.0,4098751548.0
3K-BAT,EBITDA,,44855754.0,420953831.0,,398198659.0,423123286.0
3K-BAT,EBIT,,-198480516.0,211541264.0,,189783860.0,205445883.0
3K-BAT,Net Interest Income,,-12918813.0,-10094481.0,,-16588595.0,-15585337.0
3K-BAT,Interest Expense,,13215895.0,10685237.0,,16633463.0,16376413.0
3K-BAT,Interest Income,,297082.0,590756.0,,44868.0,791076.0
3K-BAT,Normalized Income,,-226481577.4,109617658.678426,,80231405.296288,40981536.577281
3K-BAT,Net Income From Continuing And Discontinued Operation,,-229001875.0,153497275.0,,124520868.0,145261597.0
3K-BAT,Total Expenses,,4957816193.0,5243241365.0,,5142051349.0,4904292653.0
3K-BAT,Total Operating Income As Reported,,-198777598.0,210950508.0,,189738992.0,204654807.0
3K-BAT,Diluted Average Shares,,78676104.0,78314936.0,,78315011.0,78519782.0
3K-BAT,Basic Average Shares,,78676104.0,78314936.0,,78315011.0,78519782.0
3K-BAT,Diluted EPS,,0.54,1.96,,1.59,1.85
3K-BAT,Basic EPS,,0.54,1.96,,1.59,1.85
3K-BAT,Diluted NI Availto Com Stockholders,,42485096.0,153497275.0,,124520868.0,145261597.0
3K-BAT,Net Income Common Stockholders,,42485096.0,153497275.0,,124520868.0,145261597.0
3K-BAT,Otherunder Preferred Stock Dividend,-110152817.0,-271486971.0,,,,
3K-BAT,Net Income,,-229001875.0,153497275.0,,124520868.0,145261597.0
3K-BAT,Minority Interests,,-490849.0,-3632474.0,,-1330984.0,-683780.0
3K-BAT,Net Income Including Noncontrolling Interests,,-228511026.0,157129749.0,,125851852.0,145945377.0
3K-BAT,Net Income From Tax Loss Carryforward,110152817.0,271486971.0,,,,
3K-BAT,Net Income Continuous Operations,,-228511026.0,157129749.0,,125851852.0,145945377.0
3K-BAT,Tax Provision,,16814615.0,43726278.0,,47298545.0,43124093.0
3K-BAT,Pretax Income,,-211696411.0,200856027.0,,173150397.0,189069470.0
3K-BAT,Other Income Expense,,-3150372.0,56090495.0,,82505413.0,177543497.0
3K-BAT,Other Non Operating Income Expenses,115452973.0,,,,21570767.0,42450655.0
3K-BAT,Special Income Charges,,,,,0.0,59829148.0
3K-BAT,Gain On Sale Of Ppe,,,,,0.0,59829148.0
3K-BAT,Earnings From Equity Interest,,,,,0.0,0.0
3K-BAT,Gain On Sale Of Security,,-3150372.0,56090495.0,,60934646.0,75263694.0
3K-BAT,Net Non Operating Interest Income Expense,,-12918813.0,-10094481.0,,-16588595.0,-15585337.0
3K-BAT,Interest Expense Non Operating,,13215895.0,10685237.0,,16633463.0,16376413.0
3K-BAT,Interest Income Non Operating,,297082.0,590756.0,,44868.0,791076.0
3K-BAT,Operating Income,,-195627226.0,154860013.0,,107233579.0,27111310.0
3K-BAT,Operating Expense,,1187220666.0,867164127.0,,808331322.0,805541105.0
3K-BAT,Other Operating Expenses,-113381565.0,-3274503.0,-13297650.0,,7308064.0,
3K-BAT,Other Taxes,298352.0,0.0,,,,
3K-BAT,Selling General And Administration,,1190495169.0,880461777.0,,808331322.0,805541105.0
3K-BAT,Selling And Marketing Expense,,409031837.0,410744345.0,,446923108.0,439266029.0
3K-BAT,General And Administrative Expense,,781463332.0,469717432.0,,361408214.0,366275076.0
3K-BAT,Other Gand A,,781463332.0,469717432.0,,361408214.0,366275076.0
3K-BAT,Gross Profit,,991593440.0,1022024140.0,,915564901.0,832652415.0
3K-BAT,Cost Of Revenue,,3770595527.0,4376077238.0,,4333720027.0,4098751548.0
3K-BAT,Total Revenue,,4762188967.0,5398101378.0,,5249284928.0,4931403963.0
3K-BAT,Operating Revenue,,4762188967.0,5398101378.0,,5249284928.0,4931403963.0
A,Tax Effect Of Unusual Items,,-7356480.0,-2410000.0,22710764.97878,-4659220.222724,
A,Tax Rate For Calcs,,0.291,0.2,0.131779,0.091933,
A,Normalized EBITDA,,623242507.0,-7690765.0,273806023.0,-94985730.0,
A,Total Unusual Items,,-25280000.0,-12050000.0,172339625.0,-50680675.0,
A,Total Unusual Items Excluding Goodwill,,-25280000.0,-12050000.0,172339625.0,-50680675.0,
A,Net Income From Continuing Operation Net Minority Interest,,194865060.0,-345562551.0,134272337.0,-374288056.0,
A,Reconciled Depreciation,,50254251.0,40421207.0,27496369.0,23039640.0,
A,Reconciled Cost Of Revenue,,4297563025.0,2599874656.0,2290731181.0,2022948528.0,
A,EBITDA,,597962507.0,-19740765.0,446145648.0,-145666405.0,
A,EBIT,,547708256.0,-60161972.0,418649279.0,-168706045.0,
