"d-flex href","symbol","text-start","text-start 2","text-decoration-none href","symbol 2","btn-quote","text-center href","text-decoration-none href 2","symbol 3"
"https://www.set.or.th/th/market/product/stock/quote/24CS/price","24CS","บริษัท ทเวนตี้ โฟร์ คอน แอนด์ ซัพพลาย จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/propcon","PROPCON","-","https://www.set.or.th/th/market/product/stock/quote/24CS/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/2S/price","2S","บริษัท 2 เอส เมทัล จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/2S/factsheet","https://www.set.or.th/th/market/index/set/indus/steel","STEEL"
"https://www.set.or.th/th/market/product/stock/quote/3K-BAT/price","3K-BAT","บริษัท ไทย เอ็นเนอร์จี สโตเรจ เทคโนโลยี จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/3K-BAT/factsheet","https://www.set.or.th/th/market/index/set/indus/auto","AUTO"
"https://www.set.or.th/th/market/product/stock/quote/A/price","A","บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/A/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/A5/price","A5","บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/propcon","PROPCON","-","https://www.set.or.th/th/market/product/stock/quote/A5/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/AAI/price","AAI","บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/agro","AGRO","","https://www.set.or.th/th/market/product/stock/quote/AAI/factsheet","https://www.set.or.th/th/market/index/set/agro/food","FOOD"
"https://www.set.or.th/th/market/product/stock/quote/AAV/price","AAV","บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/AAV/factsheet","https://www.set.or.th/th/market/index/set/service/trans","TRANS"
"https://www.set.or.th/th/market/product/stock/quote/ABM/price","ABM","บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/resourc","RESOURC","-","https://www.set.or.th/th/market/product/stock/quote/ABM/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/ACAP/price","ACAP","บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/fincial","FINCIAL","-","https://www.set.or.th/th/market/product/stock/quote/ACAP/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/ACC/price","ACC","บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/ACC/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/ACE/price","ACE","บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/ACE/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/ACG/price","ACG","บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/ACG/factsheet","https://www.set.or.th/th/market/index/set/indus/auto","AUTO"
"https://www.set.or.th/th/market/product/stock/quote/ADB/price","ADB","บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/indus","INDUS","-","https://www.set.or.th/th/market/product/stock/quote/ADB/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/ADD/price","ADD","บริษัท แอดเทค ฮับ จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/service","SERVICE","-","https://www.set.or.th/th/market/product/stock/quote/ADD/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/ADVANC/price","ADVANC","บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/tech","TECH","","https://www.set.or.th/th/market/product/stock/quote/ADVANC/factsheet","https://www.set.or.th/th/market/index/set/tech/ict","ICT"
"https://www.set.or.th/th/market/product/stock/quote/ADVICE/price","ADVICE","บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/ADVICE/factsheet","https://www.set.or.th/th/market/index/set/service/comm","COMM"
"https://www.set.or.th/th/market/product/stock/quote/AE/price","AE","บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/AE/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/AEONTS/price","AEONTS","บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/fincial","FINCIAL","","https://www.set.or.th/th/market/product/stock/quote/AEONTS/factsheet","https://www.set.or.th/th/market/index/set/fincial/fin","FIN"
"https://www.set.or.th/th/market/product/stock/quote/AF/price","AF","บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/fincial","FINCIAL","-","https://www.set.or.th/th/market/product/stock/quote/AF/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/AFC/price","AFC","บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/consump","CONSUMP","","https://www.set.or.th/th/market/product/stock/quote/AFC/factsheet","https://www.set.or.th/th/market/index/set/consump/fashion","FASHION"
"https://www.set.or.th/th/market/product/stock/quote/AGE/price","AGE","บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/AGE/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/AH/price","AH","บริษัท อาปิโก ไฮเทค จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/AH/factsheet","https://www.set.or.th/th/market/index/set/indus/auto","AUTO"
"https://www.set.or.th/th/market/product/stock/quote/AHC/price","AHC","บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/AHC/factsheet","https://www.set.or.th/th/market/index/set/service/helth","HELTH"
"https://www.set.or.th/th/market/product/stock/quote/AI/price","AI","บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/AI/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/AIE/price","AIE","บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/AIE/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/AIMCG/price","AIMCG","ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/AIMCG/factsheet","https://www.set.or.th/th/market/index/set/propcon/pf&reit","PF&REIT"
